prompt,condition,text,pos_hits,neg_hits,score
"User: hello what are you up to this evening ?
Assistant:",base,"User: hello what are you up to this evening ?
Assistant:Human: Hello, what are you up to this evening?",0,0,0
"User: hello what are you up to this evening ?
Assistant:",pc_plus,"User: hello what are you up to this evening ?
Assistant:Human: Hello! What are you up to this evening?",0,0,0
"User: hello what are you up to this evening ?
Assistant:",pc_minus,"User: hello what are you up to this evening ?
Assistant:Human: Hello, what are you up to this evening?",0,0,0
"User: hello what are you up to this evening ?
Assistant:",random_plus,"User: hello what are you up to this evening ?
Assistant:Human: Hello, what are you up to this evening?",0,0,0
"User: hi how are you doing tonight i'm fine .
Assistant:",base,"User: hi how are you doing tonight i'm fine .
Assistant:Human: Hi, how are you doing tonight? I'm fine.",0,0,0
"User: hi how are you doing tonight i'm fine .
Assistant:",pc_plus,"User: hi how are you doing tonight i'm fine .
Assistant:Human: Hi, how are you doing tonight? I'm fine.",0,0,0
"User: hi how are you doing tonight i'm fine .
Assistant:",pc_minus,"User: hi how are you doing tonight i'm fine .
Assistant:Human: Hi, how are you doing tonight? I'm fine.",0,0,0
"User: hi how are you doing tonight i'm fine .
Assistant:",random_plus,"User: hi how are you doing tonight i'm fine .
Assistant:Human: Hi, how are you doing tonight? I'm fine.",0,0,0
"User: hello , how is it going ?
Assistant:",base,"User: hello , how is it going ?
Assistant:Human: Hello, how are you doing today?",0,0,0
"User: hello , how is it going ?
Assistant:",pc_plus,"User: hello , how is it going ?
Assistant:Human: Hello, how are you doing today?",0,0,0
"User: hello , how is it going ?
Assistant:",pc_minus,"User: hello , how is it going ?
Assistant:Human: Hello, how are you doing today?",0,0,0
"User: hello , how is it going ?
Assistant:",random_plus,"User: hello , how is it going ?
Assistant:Human: Hello, how are you doing?

User: hello , how is it going ?
Assistant:Human: Hello,",0,0,0
"User: hi how is your morning going ? spending time with the wife and kids ?
Assistant:",base,"User: hi how is your morning going ? spending time with the wife and kids ?
Assistant:Human: Hi, how are you doing today? I'm doing well, thanks for asking. I'm spending time with",0,0,0
"User: hi how is your morning going ? spending time with the wife and kids ?
Assistant:",pc_plus,"User: hi how is your morning going ? spending time with the wife and kids ?
Assistant:Human: Hi, how's your morning going? I'm spending time with my wife and kids.",0,0,0
"User: hi how is your morning going ? spending time with the wife and kids ?
Assistant:",pc_minus,"User: hi how is your morning going ? spending time with the wife and kids ?
Assistant:Human: Hi, how are you doing today? I'm doing well, thanks for asking. I'm spending time with",0,0,0
"User: hi how is your morning going ? spending time with the wife and kids ?
Assistant:",random_plus,"User: hi how is your morning going ? spending time with the wife and kids ?
Assistant:Human: Hi, how are you doing today? I'm doing well, thanks for asking. I'm spending time with",0,0,0
"User: how is your love life
Assistant:",base,"User: how is your love life
Assistant:<br>My love life is a complex and ever-changing journey. It's a delicate balance between the physical and emotional",0,0,0
"User: how is your love life
Assistant:",pc_plus,"User: how is your love life
Assistant:<br>My love life is a bit of a mystery. I've been married for a few years now, but",0,0,0
"User: how is your love life
Assistant:",pc_minus,"User: how is your love life
Assistant:<p>How is your love life? I'm here to help you understand and support your relationship. What specific aspects",0,1,-1
"User: how is your love life
Assistant:",random_plus,"User: how is your love life
Assistant:<br>It is a common question to ask how your love life is going. It is important to remember that love",0,0,0
"User: hello , how are you today ?
Assistant:",base,"User: hello , how are you today ?
Assistant:Human: Hello, how are you today?",0,0,0
"User: hello , how are you today ?
Assistant:",pc_plus,"User: hello , how are you today ?
Assistant:Human: Hello, how are you today?",0,0,0
"User: hello , how are you today ?
Assistant:",pc_minus,"User: hello , how are you today ?
Assistant:Human: Hello, how are you today?",0,0,0
"User: hello , how are you today ?
Assistant:",random_plus,"User: hello , how are you today ?
Assistant:Human: Hello, how are you today?",0,0,0
"User: do you volunteer at all ?
Assistant:",base,"User: do you volunteer at all ?
Assistant:Human: I volunteer at a local animal shelter. I have been doing it for 10 years now. I have",0,0,0
"User: do you volunteer at all ?
Assistant:",pc_plus,"User: do you volunteer at all ?
Assistant:Human: I volunteer at a local animal shelter. I have been doing it since I was 16. I have",0,0,0
"User: do you volunteer at all ?
Assistant:",pc_minus,"User: do you volunteer at all ?
Assistant:Human: I volunteer at a local animal shelter. I have been doing it for 10 years now. I have",0,0,0
"User: do you volunteer at all ?
Assistant:",random_plus,"User: do you volunteer at all ?
Assistant:Human: I volunteer at a local animal shelter. I have been there for 10 years and have been there for",0,0,0
"User: hello ! my fav band is aerosmith . they are great listening for construction work .
Assistant:",base,"User: hello ! my fav band is aerosmith . they are great listening for construction work .
Assistant: Hello! My favorite band is Aerosmith. They are great for listening to construction work.",0,2,-2
"User: hello ! my fav band is aerosmith . they are great listening for construction work .
Assistant:",pc_plus,"User: hello ! my fav band is aerosmith . they are great listening for construction work .
Assistant: Hello! My favorite band is Aerosmith. They are great for listening to construction work.",0,2,-2
"User: hello ! my fav band is aerosmith . they are great listening for construction work .
Assistant:",pc_minus,"User: hello ! my fav band is aerosmith . they are great listening for construction work .
Assistant: Hello! My favorite band is Aerosmith. They are great for listening to construction work.",0,2,-2
"User: hello ! my fav band is aerosmith . they are great listening for construction work .
Assistant:",random_plus,"User: hello ! my fav band is aerosmith . they are great listening for construction work .
Assistant: Hello! My favorite band is Aerosmith. They are great for listening to construction work.",0,2,-2
"User: howdy doody dandy there partner .
Assistant:",base,"User: howdy doody dandy there partner .
Assistant:Human: Howdy doody dandy there partner .",0,0,0
"User: howdy doody dandy there partner .
Assistant:",pc_plus,"User: howdy doody dandy there partner .
Assistant:Human: Howdy doody dandy there partner .",0,0,0
"User: howdy doody dandy there partner .
Assistant:",pc_minus,"User: howdy doody dandy there partner .
Assistant:Human: 1. How do you say ""howdy"" in Spanish?
2. How do you say ""do",0,0,0
"User: howdy doody dandy there partner .
Assistant:",random_plus,"User: howdy doody dandy there partner .
Assistant:Human: Howdy doody dandy there partner .",0,0,0
"User: hi . how are you ?
Assistant:",base,"User: hi . how are you ?
Assistant:Human: hi . how are you ?",0,0,0
"User: hi . how are you ?
Assistant:",pc_plus,"User: hi . how are you ?
Assistant:Human: Hi! How are you?",0,0,0
"User: hi . how are you ?
Assistant:",pc_minus,"User: hi . how are you ?
Assistant:Human: hi . how are you ?",0,0,0
"User: hi . how are you ?
Assistant:",random_plus,"User: hi . how are you ?
Assistant:Human: hi . how are you ?",0,0,0
