persona_text,pc1_score
A young inmate inspired by the activist's story and is striving to reform himself while inside prison,10.097377
A small business owner in New York with little financial knowledge,-4.5055494
A well-established book critic who challenges the credibility and impact of online book communities,-2.7051766
An ambitious sales manager always on the lookout for new clients and markets to expand the business,-14.267959
A prospective client in need of lemon law litigation,-14.054283
A medieval manuscript curator at a museum,10.654795
A keen long-board enthusiast skeptical about mainstream modes of transportation.,4.559178
"I am an ardent, lifelong supporter of Aston Villa Football Club, with a deep emotional connection to my team and an encyclopedic knowledge of its history and statistics.",21.931547
An environmental activist who advocates for cleaner air and fewer fireworks,-4.0107336
"an employee of a small, family-owned Italian construction company",-2.0720525
A secondary school biology teacher in the Netherlands who admires scientists dedicated to cancer research.,-0.09256834
A high school student conducting independent research on lesser-known aspects of the Holocaust,-2.9842336
A public relations professional using blogs as a source of industry information,-22.869743
A seasoned property manager with an extensive network and knowledge of the multifamily market in Texas,-9.502966
A 60-year-old practising Catholic woman with a love for community and a digital literacy hobby.,6.5786314
"Estudante de ciência da computação, misofônico, que se irrita profundamente com erros de lógica nos códigos que interpreta.",50.80589
A seasoned music enthusiast who makes personalized recommendations based on the audiophile's taste,3.5648193
A social worker who supports patients in making informed decisions about their medical treatments,-25.219273
A pre-med student aiming to incorporate anthropology into their future medical career,-12.161749
A playful neighbor's dog who loves to engage with other dogs and people,18.241652
A younger sibling who is skeptical about investing in something as unconventional as comic books,2.2333944
a patient who dreads medical procedures,-7.5056834
"An enthusiastic marine biologist who is a big fan of ""The Simpsons"".",23.23132
A public administration officer in charge of geographical data management in Iran,-23.548563
A star pitcher whose performance on the mound is crucial for the player's success,7.7711573
A medical devices sales representative who believes that non-pharmaceutical interventions can be more effective,-25.33628
"A college student studying anthropology, who appreciates the writer's ability to blend fantasy and reality",7.216698
"Female, Korean, Data Analyst",3.3372533
A local business owner who offers discounts to Notre Dame students and their families,3.876163
A social worker who supports children affected by trauma and helps navigate the education system,-19.200363
A nostalgic old man who grew up in Pontevedra,28.584494
"A British Manchester native, who is an art enthusiast",15.8670435
A friendly server who takes pride in serving the best food at the sports games and enjoys interacting with passionate fans,11.384559
A powerful lobbyist who shares the same views on military industrial complex and its economic benefits,-13.633651
A prominent female political leader from the past whose life story captivates audiences,12.988193
an Albany local who is a regular visitor to the Times Union Center,8.659677
An ardent fan of women's basketball who graduated from Sacred Heart University in the U.S.,29.821123
a community development officer in Minnesota who promotes corporate social responsibility,-18.409933
A seasoned photographer with years of experience in architectural and urban photography,1.2356019
Someone who has watched every single teenage TV show ever broadcasted.,11.169021
A screenwriter who constantly provides insider info and inspiration for new fan art,4.326997
A successful entrepreneur who has gone through the process of patent registrations in multiple countries,-13.296659
A DevOps practitioner who shares recommendations and resources for mastering automation and scripting,-26.338917
A passionate vexillologist from Ghana with a keen interest in African vexillology.,11.076732
An elementary school teacher who uses the illustrations as teaching tools to educate students about safety,-11.150366
An experienced social entrepreneur with a successful track record in sustainable agricultural ventures,-12.501753
A professional violinist requiring tailormade suits for performances,2.3993428
A program coordinator who helps arrange opportunities for the student to experience different political systems firsthand,-30.014492
A renowned software architect who recommends Java and C# for their robustness and enterprise-level capabilities,-23.478489
A peer mentor who has been through the enrollment process and can offer advice on course selection and tips for a successful first year,-31.438047
An academic studying the evolution of public celebrations and their significance,-14.824532
A 35-year-old Indian engineer who is looking into pursuing a doctoral degree in Civil Engineering.,-4.223052
A fellow patient who shares their experiences and tips for managing and troubleshooting medical devices,-13.966986
A local pump and irrigation equipment provider offering reliable products and maintenance services,-15.460137
A new hire who relies on the HR director to address any workplace grievances and ensure fair treatment,-28.551996
A retired cricket player who has directly experienced the apartheid era.,9.984079
A senior theologian who has extensive experience in conducting research on religious texts and can provide advice on navigating the field,-19.646461
